Data,A,B,BC,NO2,O3
2020-05-08,9.763623188405802,10.041340579710141,1.8093409275362327,,
2020-05-09,5.8879226361031565,6.031374999999999,0.8481105902777785,,
2020-05-10,21.0904415954416,21.289208333333356,1.1716746527777775,,
2020-05-11,26.248485714285714,26.46862499999999,2.77222302276234,,
2020-05-12,31.078149210903867,31.277496522948535,4.548088609182106,,
2020-05-13,16.92057224606579,17.024102920723227,2.0574497202932056,,
2020-05-14,12.881745350500692,12.867260083449255,1.9314232542438234,,
2020-05-15,2.287133333333333,2.1083552631578937,0.9172555844907408,,
2020-05-16,,,1.0000919270833335,,
2020-05-17,46.16333333333335,58.56922222222225,6.565695408950618,,
2020-05-18,41.1440212264151,40.81234117647062,6.511991473765434,,
2020-05-19,15.04654166666667,15.05926388888889,1.2287322048611127,,
2020-05-20,17.454444444444444,17.240599647266322,1.1582127604166672,,
2020-05-21,18.004133611691014,17.93653444676409,1.354230121527781,,
2020-05-22,11.311416666666668,11.323437500000006,1.9128753375771566,,
2020-05-23,1.7935157894736853,1.8532631578947365,0.7595134548611117,,
2020-05-24,2.271829787234039,2.295765957446809,0.6943002604166669,,
2020-05-25,2.666891304347822,2.7589804772234303,0.7988804279749486,,
2020-05-26,5.781893617021278,6.06376595744681,0.9163289062499999,,
2020-05-27,16.396009975062345,17.134745484400682,1.3536709201388917,,
2020-05-28,56.96192160611856,57.162748091603085,8.547262055158164,,
2020-05-29,,,6.878908176866014,,
2020-05-30,,,9.707563060491742,,
2020-05-31,,,8.2000218736892,,
2020-06-01,,,2.4358428626543156,,
2020-06-02,,,1.0010120659722221,,
2020-06-03,,,1.107432204861112,,
2020-06-04,,,0.8750245659722223,,
2020-06-05,,,1.0695085937500004,,
2020-06-06,,,1.1167361400462974,,
2020-06-07,,,0.8645911554783955,,
2020-06-08,,,5.308779937137123,,
2020-06-09,,,2.1181036554783907,,
2020-06-10,,,1.5683732542438305,,
2020-06-11,,,1.1100724826388897,,
2020-06-12,,,4.183237065972228,,
2020-06-13,,,1.7447177341518028,,
2020-06-14,,,0.740149392361112,,
2020-06-15,,,0.8802002604166671,,
2020-06-16,,,1.0523008777006175,,
2020-06-17,,,1.0746176215277776,,
2020-06-18,12.924867256637176,13.032389380530974,1.3470815104166702,,
2020-06-19,6.103960396039605,6.095247524752473,2.120150877700611,,
2020-06-20,,,2.6308103298611076,,
2020-06-21,12.584817813765184,12.750283400809716,3.335997173996922,,
2020-06-22,11.262083333333335,11.453736111111104,3.843348640046303,,
2020-06-23,16.406905109489053,16.59844023323614,3.362158179012354,,
2020-06-24,24.550389972144856,24.66059722222225,3.9722164380577425,,
2020-06-25,16.226874999999968,16.33429166666667,2.8892318262411285,,
2020-06-26,4.700902777777776,4.667083333333337,1.1152304012345684,,
2020-06-27,4.125277777777782,4.329569444444447,1.1152304012345684,,
2020-06-28,4.376828929068152,4.439027777777778,1.1152304012345684,,
2020-06-29,7.632291666666663,7.818625000000006,1.1144791923551176,,
2020-06-30,8.83611111111111,8.784805555555561,1.282147569444447,,
2020-07-01,6.642861111111116,6.933305555555555,0.8160558159722231,,
2020-07-02,11.378164116828923,11.56749652294854,1.486629619984569,,
2020-07-03,21.691027777777766,21.712611111111105,2.070358854166665,,
2020-07-04,16.325763888888893,16.608263888888903,1.7028019483024688,,
2020-07-05,24.459930555555548,24.23401388888887,1.8703257249853873,,
